objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_8803.png,,,My friend Skylar and I waiting for boarding at CLT airport,Juno Ormond,03/24/26,Photograph of my friend Skylar and I waiting for boarding at CLT airport,travel,"Charlotte, NC",35.2271,80.8431,Juno Ormond,jo_1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_8805.png,,,The parking deck at Nashville airport,Juno Ormond,03/24/26,Photograph of parking deck at Nashville airport,travel,"Nashville, TN",35.2271,80.8431,Juno Ormond,jo_2,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_8074.png,,,Me making bracelts while waiting for boarding ,Juno Ormond,03/24/26,Photograph of me making bracelts while waiting for boarding ,travel,"Charlotte, NC",36.1627,-86.7816,Juno Ormond,jo_3,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_8127.png,,,My friend Skylar and I at Bridgestone Arena,Juno Ormond,03/24/26,Photograph of my friend Skylar and I at Bridgestone Arena,sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_4,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IMG_8814.png,,,"Some of the SJS players, included are Collin Graf, William Eklund, Alexander Wennburg, Shakir Mukhamadullin, and Mario Ferraro.",Juno Ormond,03/24/26,"Photograph of SJS players, included are Collin Graf, William Eklund, Alexander Wennburg, Shakir Mukhamadullin, and Mario Ferraro.",sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_5,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,IMG_8816.png,,,The seat view of rink during the game!,Juno Ormond,03/24/26,Photograph of seat view of rink during the game!,sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_6,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IMG_8813.png,,,"Seat view of rink, during National Anthem ",Juno Ormond,03/24/26,"Photograph Seat view of rink, during National Anthem ",sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_7,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,IMG_8810.png,,,"The SJS bench. Visible is one of the SJS Broadcasters, Drew Remenda!",Juno Ormond,03/24/26,"Photograph of SJS bench. Visible is one of the SJS Broadcasters, Drew Remenda!",sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_8,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,IMG_8808.png,,,"The rink up close, pre warm ups.",Juno Ormond,03/24/26,"Photograph of rink up close, pre warm ups.",sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_9,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,ijsytyiGFik&list=PL6c_5khfowhr03GxuN3ObY8WWf40GN7RA,,Sharks' warm-ups.,Juno Ormond,03/24/26,Video of sharks' warm-ups.,sports,"Nashville, TN",36.1627,-86.7816,Juno Ormond,jo_10,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/